"id","type","strain","stage_id"
"1","wholemount",,"2"
"2","wholemount","Swiss Webster","300"
"3","section","unspecified","1"
"4","wholemount","unspecified","3"
"5","wholemount","CD-1","278"
"6","wholemount","C57BL/6 x CBA","199"
"7","wholemount","either: C57BL/6 or (129S7/SvEvBrd x C57BL/6)F1","165"
"8","wholemount","involves: 129S2/SvPas","700"
"9","wholemount","FVB","165"
"10","wholemount","involves: 101/HeH * C3H/HeH","25250"
"11","sectioned wholemount","involves: 101/HeH * C3H/HeH","25305"
"12","section","either: BALB/c or C57BL/10 or CD-1","155"
"13","wholemount","involves: 129S7/SvEvBrd * C57BL/6","155"
"14","sectioned wholemount","involves: C57BL/6 * CBA","3211"
"15","section","NMRI","4"
"16","sectioned wholemount","CD-1","155"
"17","section",,"1"
"18","wholemount","(Swiss Webster x C57BL/6)F1","700"
"19","wholemount","C57BL/6","155"
"20","wholemount","(C57BL/6 x DBA/2)F1","24551"
"21","wholemount","129/Sv x CD1","155"
"22","wholemount","involves: C57BL/6 * CBA","711"
"23","wholemount","either: (involves: 129S/SvEv * 129S1/Sv) or (involves: 129S1/Sv * C57BL/6)","155"
"24","wholemount","(C57BL/6 x SJL) F1","25389"
"25","wholemount","CD1","110"
"26","opt","CD-1","700"
"27","wholemount","C57BL/6 * CBA","433"
"28","wholemount","ICR","267"
"29","wholemount","NMRI","689"
"30","wholemount","involves: 129S1/Sv * 129X1/SvJ * ICR","521"
"31","section","C57BL/6 x DBA/2","25421"
"32","wholemount","Swiss","165"
"33","wholemount","involves: 129S1/Sv * 129X1/Sv * CD-1","25443"
"34","wholemount","BALB/c","402"
"35","wholemount","C57BL","165"
"36","wholemount","involves: C57BL/6 * DBA/2 * ICR","155"
"37","wholemount","either: CD-1 or Swiss","11782"
"38","wholemount","C57BL/6J","165"
"39","wholemount","involves: 101/H * C3H/HeH","199"
"40","section","Swiss","12909"
"41","wholemount","involves: 129S2/SvPas * C57BL/6","11782"
"42","wholemount","involves: 129S4/SvJae","165"
"43","wholemount","involves: 129S1/Sv * 129X1/SvJ * C57BL/6","24436"
"44","wholemount","FVB/NJ","700"
"45","wholemount","C57BL/6*CBA","165"
"46","wholemount","involves: C57BL/6*CBA","199"
"47","section","Swiss Webster","3211"
"48","wholemount","either: (129/Sv * C57BL/6) or (129/Sv * NMRI)","700"
"49","section","C57BL/6J","22163"
"50","wholemount","involves: fancier's dancing mouse","165"
"51","wholemount","involves: C57BL/6 * C","199"
"52","wholemount","OF1","155"
"53","wholemount","involves: 129P2/OlaHsd * MF1","165"
"54","section","OF1","221"
"55","wholemount","C3HeB/FeJ","165"
"56","wholemount","involves: C57BL/6J","2"
"57","wholemount","either: C57BL/6 or FVB or ICR","165"
"58","wholemount","involves: C57BL/6 * SJL","155"
"59","wholemount","Undefined (outbreed)","521"
"60","wholemount","involves: 129P2/OlaHsd","155"
"61","wholemount","CD-1 or Swiss Quackenbush","165"
"62","wholemount","(C57BL/6 x CBA)F1","165"
"63","sectioned wholemount","CD1","1"
"64","wholemount","either: C57BL/6 or (CBA/Ca x C57BL/10)F1","2"
"65","wholemount","involves: C57BR/cd * CD-1 * ICR","155"
"66","section","ICR","521"
"67","section","Swiss Webster or CD1","1"
"68","wholemount","involves: 129 * C57BL/6","155"
"69","wholemount","involves: 129P2/OlaHsd * C57BL/6","402"
"70","wholemount","Swiss Webster or CD1","155"
"71","wholemount","either: B6.129-Lbx2tm1Fchn or (involves: 129S1/Sv * 129X1/SvJ * C57BL/6)","521"
"72","wholemount","ICR x B6D2F1","155"
"73","wholemount","involves: B6D2","25857"
"74","wholemount","129X1/SvJ","165"
"75","wholemount","C3H","165"
"76","wholemount","involves: 129X1/SvJ * C57BL/6","155"
"77","wholemount","either: CD-1 or C57BL/6","25862"
"78","wholemount","129/Sv","666"
"79","section","Parkes x NIH","1"
"80","wholemount","involves: 129P2/OlaHsd * C57BL/6J","402"
"81","wholemount","B6D2F1","155"
"82","wholemount","involves: 101/Rl * C3H/Rl","25923"
"83","wholemount","involves: 129X1/SvJ * C57BL/6J","700"
"84","wholemount","involves: 129S1/Sv","402"
"85","wholemount","either: (involves: 129S4/SvJae * BALB/c) or (involves: 129S4/SvJae * C57BL/6)","165"
"86","wholemount","involves: 129/Sv * C57BL/6","700"
"87","wholemount","involves: 129/Sv * CD-1","122"
"88","wholemount","involves: NIH * Parkes","155"
"89","wholemount","either: (involves: 129 * 129S1/Sv * 129X1/SvJ) or (involves: 129 * 129S1/Sv * 129X1/SvJ * C57BL/6NTac)","700"
"90","wholemount","involves: 129S2/SvPas * C57BL/6 * CD-1","199"
"91","wholemount","(C57BL/6 x SJL)F1","25975"
"92","wholemount","C57BL/10","155"
"93","wholemount","involves: 129S4/SvJae * C57BL/6","155"
"94","wholemount","FVB/N","655"
"95","wholemount","involves: 129S6/SvEvTac","155"
"96","wholemount","either: 129S/SvEv or ICR or (involves: 129S/SvEv * C57BL/6) or (involves: C57BL/6 * DBA/2)","199"
"97","section","129P2/Ola x C57BL/6","25994"
"98","wholemount","involves: C57","26010"
"99","wholemount plus section of wholemount","129P2/Ola x C57BL/6","165"
"100","wholemount","either: C57BL/6 or Swiss Webster","521"
"101","wholemount","FVBN","521"
"102","wholemount","CBA * C57BL/6","165"
"103","wholemount","NMRI/B6D2","26067"
"104","wholemount","(involves: 129S/SvEv)","25340"
"105","wholemount","129/SvEv","456"
"106","wholemount","(involves: 129S5/SvEvBrd * C57BL/6J)","2691"
"107","wholemount","129/Sv * C57BL/6","3"
"108","wholemount","either: B6 or A/J","26096"
"109","section","CD1","1"
"110","wholemount","Rj:Swiss","165"
"111","wholemount","Swiss Webster B","165"
"112","section","B6D2 F1","165"
"113","section","C57BL/6","4"
"114","wholemount","C57BL/6 x DBA","155"
"115","wholemount","Swiss Quackenbush","521"
"116","wholemount","involves: ICR * C57BL/6","278"
"117","wholemount","involves: ICR * C57BL6","155"
"118","wholemount","involves: 129/Sv * 129S2/SvPas","165"
"119","wholemount","FVB/NCrlBR","155"
"120","wholemount","129S4/SvJaeSor * C57BL/6J","155"
"121","wholemount","C57BL/6 * 129","521"
"122","wholemount","involves: 129P2/OlaHsd * FVB","155"
"123","wholemount","involves: ICR","521"
"124","wholemount plus section of wholemount",,"4099"
"125","opt",,"700"
"126","wholemount plus section of wholemount","CD1","1021"
"127","wholemount","C57BL/6 * 129/Sv","521"
"128","section","MF1","19834"
"129","wholemount","ICR/Slc","155"
"130","wholemount","involves: 129S/SvEv * C57BL/6","5553"
"131","wholemount","C57BL/6 x DBA/2","25421"
"133","wholemount","(CD1 x 129/Sv)F1","444"
"134","wholemount","C57BL/6 x C3H","775"
"135","wholemount plus section of wholemount","Swiss Webster","2"
"136","wholemount","(129/Sv x C57BL/6) x (129/Sv x CD1)F1","666"
"137","section","(CBA x C3H/He)F1","155"
"138","wholemount plus section of wholemount","NMRI","155"
"139","wholemount","MF1","300"
"140","section","CD-1","221"
"142","wholemount plus section of wholemount","C57BL/6","155"
"143","sectioned wholemount",,"155"
"144","section","DBA/2 x C57BL/6","155"
"145","sectioned wholemount","C57BL/6","24967"
"146","sectioned wholemount","Swiss Webster","24481"
"147","wholemount plus section of wholemount","(129/Sv x C57BL/6) x (129/Sv x CD1)F1","2793"
"148","wholemount","BALB/c or SJL","300"
"149","section","Manchester","199"
"150","wholemount","129S7/SvEvBrd x C57BL/6","155"
"151","sectioned wholemount","unspecified","24465"
"152","wholemount","C57B/6 x 129/B6","1021"
"153","section","CBA or C57BL/6","165"
"154","wholemount plus section of wholemount","ARC/S or CD-1","165"
"155","wholemount","C3H x C57BL/6","155"
"156","section","CD-1 or Swiss Webster","1"
"157","wholemount plus section of wholemount","involves: 129/Sv x C57BL/6 x CD-1","155"
"158","wholemount","C3H/HeJ","24596"
"159","wholemount","(CD-1 x 129/Sv)F1","444"
"160","wholemount","129S1/Sv x 129X1/SvJ x C57BL/6J","300"
"161","section","C57BL/6 x CBA","155"
"162","section","BALB/c","3211"
"163","section","(C57BL/6 x DBA/2)F1","521"
"164","section","CBA x C57BL","155"
"165","section","CBA x C57BL/6","488"
"166","section","either (129P2/OlaHsd x C57BL/6) or (129P2/OlaHsd x CD-1) or (129X1/SvJ x C57BL/6)","221"
"167","section","(CBA x C57BL/6)F1","389"
"168","wholemount","129Sv/C57BL6J","165"
"169","section","BALB/c x C57BL/6 x ICR","165"
"170","wholemount plus section of wholemount","CD-1","155"
"171","wholemount","(C57BL/6J x CBA)F1","24481"
"172","wholemount","129P2/Ola x C57BL/6","165"
"173","wholemount","129S1/Sv x129X1/SvJ x C57BL/6J","300"
"174","unknown","129/Sv x C57BL/6J x FVB x SJL","155"
"175","wholemount","129/Sv x C57BL/6J x FVB x SJL","245"
"176","wholemount plus section of wholemount","unspecified","199"
"177","wholemount plus section of wholemount","129S1/Sv x 129X1/SvJ x C57BL/6J","31228"
"178","wholemount plus section of wholemount","ICR","221"
"179","wholemount","129/Sv x C57BL/6J","24590"
"180","section","either: CBA or C57BL/6","155"
"181","wholemount","(C57BL/6 x DBA)F1","300"
"182","section","(C57BL/6 x CBA)F1","1"
"183","wholemount","129S1/Sv x 129X1/SvJ x C57BL/6","2"
"184","wholemount","C3H/101 x CBA/Ca","165"
"185","section","C3H/101 x CBA/Ca","165"
"186","wholemount","129Ola/C57BL6","245"
"187","sectioned wholemount","BALB/c","367"
"188","wholemount","either: (129P2/OlaHsd x C57BL/6) or (129P2/(OlaHsd x CD-1) or (129X1/SvJ x C57BL/6)","221"
"189","wholemount","129P2/OlaHsd x NMRI","456"
"190","wholemount","FVB.129-Ift88(tm1Rpw)","689"
"191","section","(129S2/SvPas x C57BL/6) or (129S4/SvJae x C57BL/6)","1"
"192","sectioned wholemount","ICR","155"
"193","wholemount","either: (involves: 129P2/OlaHsd * C57BL/6) or (involves: 129P2/OlaHsd * CD-1) or (involves: 129X1/SvJ * C57BL/6)","221"
"194","wholemount","either: BALB/c or SJL","221"
"195","sectioned wholemount","either: BALB/c or SJL","155"
"196","sectioned wholemount","involves: 129P2/OlaHsd","24451"
"197","section","involves: 129P2/OlaHsd","24452"
"198","wholemount","involves: 129S7/SvEvBrd","155"
"199","wholemount","(NMRI x C57BL/6)F1","300"
"200","sectioned wholemount","129/Sv * C57BL/6J","221"
"201","wholemount","involves: 129/Sv * C57BL/6J * FVB * SJL","467"
"202","section","(ICR x Swiss Webster)F1","165"
"203","wholemount","TO","155"
"204","section","CBA/N","165"
"205","section","involves: DBA/2 * C57BL/6","1"
"206","wholemount","C57BL/6 xCBA","199"
"207","wholemount","involves: Swiss * TO","689"
"208","unknown","C57BL/6","24577"
"209","sectioned wholemount","involves: CBA * NMRI","20631"
"210","section","FVB","165"
"211","wholemount","BALB/c or C57BL/6","199"
"212","section","C3H/HeJ","24586"
"213","wholemount","C3.D2-Raz","122"
"214","section","involves: 129/Sv * C57BL/6J * FVB * SJL","467"
"215","sectioned wholemount","C57BL/6J","278"
"216","wholemount","involves: 129S2/SvPas * C3H/He","402"
"217","section","either: C57BL or ICR","155"
"218","wholemount","either: (involves: 129S2/SvPas * C57BL/6) or (involves: 129S4/SvJae * C57BL/6)","155"
"219","wholemount","involves: 129S1/Sv * 129X1/SvJ * C57BL/6J","199"
"220","wholemount","involves: 129P2/Ola * C57BL/6","2691"
"221","section","involves: 129P2/Ola * C57BL/6","2691"
"222","section","involves: 129S7/SvEvBrd * C57BL/6","155"
"223","section","129S/SvEv","155"
"224","sectioned wholemount","(C57BL/6J x SJL/J)F1","24764"
"225","section","(C57BL/6J x SJL/J)F1","8325"
"226","wholemount","involves: 129S2/SvPas * 129S7/SvEvBrd * CD-1","2"
"227","wholemount","involves: 129S1/Sv * 129X1/SvJ * NMRI","402"
"228","wholemount","involves: CBA/Ca * LPT/Le","155"
"229","section","either: BALB/c or C57BL/6","24823"
"230","sectioned wholemount","involves: 129S7/SvEvBrd * C57BL/6","689"
"231","wholemount","B6C3Fe-a/a","700"
"232","section","FVB/N","402"
"233","wholemount","either: (involves: 129/Sv) or (involves: C57BL/6J)","165"
"234","section","involves: Swiss * TO","155"
"235","wholemount","involves: 129/Sv * C57BL/6 * CD-1","155"
"236","wholemount","(ICR x Swiss Webster)F1","278"
"237","sectioned wholemount","(ICR x Swiss Webster)F1","655"
"238","unknown","(ICR x Swiss Webster)F1","122"
"239","sectioned wholemount","either: (involves: 129P2/OlaHsd * C57BL/6) or (involves: 129P2/OlaHsd * CD-1) or (involves: 129X1/SvJ * C57BL/6)","380"
"240","sectioned wholemount","involves: 129S1/Sv","402"
"241","section","involves: 129/Sv * C57BL/6 * CD-1","24840"
"242","section","involves: C57BL/6 * DBA","24840"
"243","sectioned wholemount","involves: C57BL/6 * DBA","655"
"244","wholemount","involves: C57BL/6 * DBA","24965"
"245","wholemount","involves: C3H/HeJ * C57BL/6","165"
"246","section","involves: CBA-T6T6 * NMRI","245"
"247","opt","CD1","165"
"248","wholemount","involves: C3H * C57BL/6","122"
"249","wholemount","(CBA x C3H/He)F1","24641"
"250","wholemount","(101/Rl x C3H/Rl)F1","221"
"251","section","involves: 101/HeH * C3H/HeH","4455"
"252","wholemount","nvolves: 129P2/OlaHsd * MF1","25930"
"253","wholemount","either: (involves: 129X1/SvJ * C57BL/6) or (involves: 129X1/SvJ * SWR)","155"
"254","wholemount","ARC/S","155"
"255","wholemount","C57BL/6J x BALB/c","25340"
"256","wholemount","(C3H x 101)F1","165"
"257","wholemount","involves: 129S4/SvJaeSor","199"
"258","wholemount","involves: 129S/SvEv","155"
"259","wholemount","C.B-17","155"
"260","wholemount","involves: C57BL/6","165"
"261","wholemount","B6.CBA","165"
"262","wholemount","involves: C57BL/6 * CD-1","165"
"263","wholemount","involves: 129S6/SvEvTac * C57BL/6","199"
"264","wholemount","nvolves: 129S1/Sv * 129X1/SvJ * C57BL/6","165"
"265","wholemount","involves: 129P2/OlaHsd * CD-1","700"
"266","wholemount","either: 129-Tes<GT(RRH061)Byg> or B6.129P2-Tes<GT(RRH061)Byg>","155"
"267","wholemount","either: 129-Tes","199"
"268","wholemount","either: (involves: 129S4/SvJae) or (involves: 129 * C57BL/6)","165"
"269","wholemount","either: (C57BL/6 x BALB/c) or CD-1","199"
"270","wholemount","involves: 129S7/SvEvBrd * C57BL/6J","155"
"271","wholemount","involves: CD-1 * ICR","2"
"272","wholemount","Kunming","26605"
"273","wholemount","involves: 129S1/Sv * 129X1/SvJ","521"
"274","wholemount","involves: 129S/SvLex * C57BL/6","666"
"275","wholemount","either: 129 or (involves: 129S1/Sv * 129X1/SvJ * C57BL/6) or (involves: 129S1/Sv * 129X1/SvJ * CD-1)","122"
"276","wholemount","DDY","278"
"277","wholemount","involves: 129P2/OlaHsd * C57BL/6 * DBA/2","155"
"278","wholemount","C57BL/6 x SJL","278"
"279","wholemount","B6.Cg-Etl4<Gt(pU8)80211Imeg>","402"
"280","wholemount","nvolves: 129P2/OlaHsd * C57BL/6","155"
"281","wholemount","129;B6","155"
"282","wholemount","involves: 129/Sv","25963"
"283","wholemount","(either: CD-1 or: MF-1) x (C57BL/6J X SJL/J)F1","1771"
"284","wholemount","BDF1","155"
"285","wholemount","129S6/SvEvTac","155"
"286","wholemount","either: (involves: 129/Sv) or (involves: C57BL/6)","165"
"287","wholemount","either: (involves: 129P/Ola * 129P2/OlaHsd) or (involves: 129P2/OlaHsd * FVB)","27290"
"288","wholemount","CF1","26289"
"289","wholemount","involves: 129S2/SvPas * CD-1","27341"
"290","wholemount","involves: 129X1/SvJ * Black Swiss","199"
"291","wholemount","either: (involves: 129P2/OlaHsd) or (involves: 129P2/OlaHsd * C57BL/6J) or (involves: 129P2/OlaHsd * C57BL/6J * DBA/2)","521"
"292","wholemount","involves: 129/Sv * C57BL/6 * Swiss","700"
"293","wholemount","involves: 129 * C57BL/6 * ICR","27423"
"294","wholemount","involves: 129X1/SvJ","700"
"295","wholemount","either: CD-1 or (C57BL/6 x CBA)F1","155"
"296","wholemount","either: CD-1 or (C57BL/6 x CBA)F1)","700"
"297","section","BL6/SV129","4"
"298","section","C57BL/6-Tyr<c-Brd>","12909"
